# Complex evaluations of Bessel function of the first kind generated on a square grid.
#
# Function representation: J(ν, z)
#   J --> [complex] Bessel function of the first kind
#   z --> [complex] argument
#   ν --> [int] bessel order
#
# Hardware details:
#   date: 2026-02-10 21:47:00.469167+00:00
#   system: Darwin
#   release: 25.0.0
#   version: Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:23 PDT 2025; root:xnu-12377.1.9~141/RELEASE_ARM64_T8122
#   machine: arm64
#   processor: arm
#
# Software details:
#   python version: 3.14.2 (v3.14.2:df793163d58, Dec  5 2025, 12:18:06) [Clang 16.0.0 (clang-1600.0.26.6)]
#   scipy version: 1.17.0
#
# Data shape: (order, z_r, z_theta, real(J), imag(J)) 
(0, 0.001, 0.0, 0.9999997500000156, 0.0)
(0, 0.001, 0.3306939635357677, 0.9999998027148765, -1.5355316302553816e-07)
(0, 0.001, 0.6613879270715354, 0.9999999386286145, -2.423500590481543e-07)
(0, 0.001, 0.992081890607303, 1.0000001004238455, -2.2894334315945034e-07)
(0, 0.001, 1.3227758541430708, 1.0000002198684463, -1.1898686133999509e-07)
(0, 0.001, 1.6534698176788385, 1.0000002465903408, 4.114865264361285e-08)
(0, 0.001, 1.984163781214606, 1.0000001693203915, 1.8393099323991582e-07)
(0, 0.001, 2.3148577447503738, 1.000000020644821, 2.4914612582345754e-07)
(0, 0.001, 2.6455517082861415, 0.9999998632629541, 2.0929160525667405e-07)
(0, 0.001, 2.9762456718219092, 0.9999997635457019, 8.117485770409765e-08)
(0, 0.001, 3.306939635357677, 0.9999997635457019, -8.117485770409755e-08)
(0, 0.001, 3.6376335988934447, 0.9999998632629541, -2.09291605256674e-07)
(0, 0.001, 3.968327562429212, 1.000000020644821, -2.491461258234576e-07)
(0, 0.001, 4.29902152596498, 1.0000001693203915, -1.8393099323991606e-07)
(0, 0.001, 4.6297154895007475, 1.0000002465903408, -4.114865264361309e-08)
(0, 0.001, 4.960409453036515, 1.0000002198684463, 1.1898686133999489e-07)
(0, 0.001, 5.291103416572283, 1.0000001004238455, 2.289433431594503e-07)
(0, 0.001, 5.621797380108051, 0.9999999386286145, 2.4235005904815435e-07)
(0, 0.001, 5.9524913436438185, 0.9999998027148765, 1.535531630255383e-07)
(0, 0.001, 6.283185307179586, 0.9999997500000156, 1.2246466460665097e-22)
(0, 0.0014873521072935117, 0.0, 0.9999994469460037, 0.0)
(0, 0.0014873521072935117, 0.3306939635357677, 0.9999995635626461, -3.3969276817134267e-07)
(0, 0.0014873521072935117, 0.6613879270715354, 0.9999998642331842, -5.361307288253845e-07)
(0, 0.0014873521072935117, 0.992081890607303, 1.0000002221592388, -5.06472224297272e-07)
(0, 0.0014873521072935117, 1.3227758541430708, 1.0000004863965817, -2.63224708158064e-07)
(0, 0.0014873521072935117, 1.6534698176788385, 1.0000005455112084, 9.10297333391384e-08)
(0, 0.0014873521072935117, 1.984163781214606, 1.0000003745733255, 4.068951814363209e-07)
(0, 0.0014873521072935117, 2.3148577447503738, 1.0000000456707678, 5.511651253004682e-07)
(0, 0.0014873521072935117, 2.6455517082861415, 0.9999996975080628, 4.629982603609874e-07)
(0, 0.0014873521072935117, 2.9762456718219092, 0.9999994769119828, 1.7957631690200875e-07)
(0, 0.0014873521072935117, 3.306939635357677, 0.9999994769119828, -1.7957631690200854e-07)
(0, 0.0014873521072935117, 3.6376335988934447, 0.9999996975080628, -4.629982603609873e-07)
