# Complex evaluations of modified Bessel function I_n(z) for z in the RHP.
#
# Function representation: I(ν, z)
#   I --> [complex] modified Bessel function of the first kind
#   z --> [complex] argument (Re(z) > 0)
#   ν --> [int] bessel order
#
# Hardware details:
#   date: 2026-02-10 21:47:00.469167+00:00
#   system: Darwin
#   release: 25.0.0
#   version: Darwin Kernel Version 25.0.0: Wed Sep 17 21:41:23 PDT 2025; root:xnu-12377.1.9~141/RELEASE_ARM64_T8122
#   machine: arm64
#   processor: arm
#
# Software details:
#   python version: 3.14.2 (v3.14.2:df793163d58, Dec  5 2025, 12:18:06) [Clang 16.0.0 (clang-1600.0.26.6)]
#   scipy version: 1.17.0
#
# Data shape: (order, z_r, z_theta, real(I), imag(I)) 
(0, 0.001, -1.5607963267948965, 0.999999750050014, -4.9996660484999844e-09)
(0, 0.001, -1.39650197660596, 0.9999997650360848, -8.539292248155072e-08)
(0, 0.001, -1.2322076264170236, 0.999999805163891, -1.5664892122662456e-07)
(0, 0.001, -1.067913276228087, 0.9999998661396573, -2.111430900532702e-07)
(0, 0.001, -0.9036189260391506, 0.9999999414388243, -2.4304441337310436e-07)
(0, 0.001, -0.7393245758502142, 1.000000023004191, -2.489393659453351e-07)
(0, 0.001, -0.5750302256612776, 1.0000001021080551, -2.281971697000775e-07)
(0, 0.001, -0.41073587547234114, 1.0000001702860999, -1.830372898896902e-07)
(0, 0.001, -0.24644152528340468, 1.0000002202430975, -1.1829194777149312e-07)
(0, 0.001, -0.08214717509446823, 1.0000002466335185, -4.0889061099338475e-08)
(0, 0.001, 0.08214717509446823, 1.0000002466335185, 4.0889061099338475e-08)
(0, 0.001, 0.24644152528340468, 1.0000002202430975, 1.1829194777149312e-07)
(0, 0.001, 0.41073587547234136, 1.0000001702860999, 1.8303728988969026e-07)
(0, 0.001, 0.5750302256612778, 1.0000001021080551, 2.2819716970007746e-07)
(0, 0.001, 0.7393245758502143, 1.000000023004191, 2.489393659453351e-07)
(0, 0.001, 0.9036189260391507, 0.9999999414388243, 2.430444133731043e-07)
(0, 0.001, 1.0679132762280872, 0.9999998661396573, 2.1114309005327015e-07)
(0, 0.001, 1.2322076264170236, 0.999999805163891, 1.5664892122662456e-07)
(0, 0.001, 1.39650197660596, 0.9999997650360848, 8.539292248155072e-08)
(0, 0.001, 1.5607963267948965, 0.999999750050014, 4.9996660484999844e-09)
(0, 0.0014873521072935117, -1.5607963267948965, 0.9999994470566107, -1.1060341006797731e-08)
(0, 0.0014873521072935117, -1.39650197660596, 0.9999994802090311, -1.8890758735279864e-07)
(0, 0.0014873521072935117, -1.2322076264170236, 0.9999995689803944, -3.465412545924801e-07)
(0, 0.0014873521072935117, -1.067913276228087, 0.9999997038719514, -4.670941456656526e-07)
(0, 0.0014873521072935117, -0.9036189260391506, 0.9999998704499758, -5.376667916334793e-07)
(0, 0.0014873521072935117, -0.7393245758502142, 1.0000000508902047, -5.507077285115532e-07)
(0, 0.0014873521072935117, -0.5750302256612776, 1.0000002258850753, -5.048215276293373e-07)
(0, 0.0014873521072935117, -0.41073587547234114, 1.0000003767096814, -4.049181163596765e-07)
(0, 0.0014873521072935117, -0.24644152528340468, 1.0000004872253914, -2.61687408895495e-07)
(0, 0.0014873521072935117, -0.08214717509446823, 1.000000545606727, -9.04554606124067e-08)
(0, 0.0014873521072935117, 0.08214717509446823, 1.000000545606727, 9.04554606124067e-08)
